file_path,line_number,status,operation,table,confidence,tainted_variables,advanced_patterns,context_scope
input/02_database_update.abap,30,Complete,UPDATE,Unknown,0.70,"SY-UNAME, LV_UPDATER, UPDATER, LV_MODIFIER",0,
input/02_database_update.abap,34,Complete,UPDATE,Unknown,0.70,"MODIFIED_BY, SY-UNAME",0,
input/02_database_update.abap,48,Complete,UPDATE,Unknown,0.70,"SY-UNAME, UPDATER",0,
input/02_database_update.abap,59,Complete,UPDATE,Unknown,0.70,"LV_USER, LV_UPDATER, UPDATER",0,
input/02_database_update.abap,64,Complete,UPDATE,Unknown,0.70,"SY-UNAME, LV_UPDATER, UPDATER",0,
input/02_database_update.abap,84,Complete,UPDATE,ZTABLE,0.90,"SY-UNAME, CHANGED_BY",0,
input/02_database_update.abap,165,Complete,UPDATE,Unknown,0.70,"LS_INTERMEDIATE, UPDATER, SY-UNAME",0,
input/02_database_update.abap,166,Complete,UPDATE,Unknown,0.70,LS_INTERMEDIATE,0,
input/02_database_update.abap,167,Complete,UPDATE,Unknown,0.70,LS_INTERMEDIATE,0,
input/02_database_update.abap,168,Complete,UPDATE,Unknown,0.70,"LS_INTERMEDIATE, UPDATER",0,
input/02_database_update.abap,203,Complete,UPDATE,ZTABLE,0.90,"CHANGED_BY, SY-UNAME",0,
input/02_database_update.abap,223,Complete,UPDATE,ZTABLE,0.90,"SY-UNAME, ARCHIVE_USER",0,
input/02_database_update.abap,289,Complete,UPDATE,Unknown,0.70,SY-UNAME,0,
input/03_database_modify.abap,114,Complete,UPDATE,Unknown,0.70,WA_ZTABLE,0,
input/03_database_modify.abap,117,Complete,MODIFY,ZTABLE,0.90,WA_ZTABLE,0,
input/03_database_modify.abap,126,Complete,MODIFY,LT_ZTABLE,0.90,WA_ZTABLE,0,
input/03_database_modify.abap,134,Complete,MODIFY,LT_ZTABLE,0.90,WA_ZTABLE,0,
input/03_database_modify.abap,141,Complete,MODIFY,Unknown,0.70,WA_ZTABLE,0,
input/03_database_modify.abap,143,Complete,MODIFY,ZTABLE,0.90,WA_ZTABLE,0,
input/03_database_modify.abap,174,Complete,MODIFY,LT_ZTABLE,0.90,"PROCESSED_BY, WA_ZTABLE",0,
